"No.","Time","Source","Destination","Protocol","Length","Info","OpCode","OpGroup","Bytes"
"125","2024-12-20 19:26:48.739535","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"126","2024-12-20 19:26:48.740307","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"127","2024-12-20 19:26:48.847123","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"128","2024-12-20 19:26:48.848026","controller","host","HCI_EVT","32","Rcvd LE Meta (LE Advertising Report)","","","3e:1d"
"129","2024-12-20 19:26:48.848783","controller","host","HCI_EVT","15","Rcvd LE Meta (LE Advertising Report)","","","3e:0c"
"130","2024-12-20 19:26:49.552944","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"131","2024-12-20 19:26:49.561267","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"132","2024-12-20 19:26:49.561528","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Set Extended Scan Parameters","LE Controller Commands","41:20"
"133","2024-12-20 19:26:49.568161","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04"
"134","2024-12-20 19:26:49.568469","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"135","2024-12-20 19:26:49.575664","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"136","2024-12-20 19:26:49.605349","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Set Extended Scan Enable","LE Controller Commands","42:20"
"137","2024-12-20 19:26:49.613146","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04"
"138","2024-12-20 19:26:49.613429","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"139","2024-12-20 19:26:49.620661","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"140","2024-12-20 19:26:49.620933","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"141","2024-12-20 19:26:49.628352","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"142","2024-12-20 19:26:49.628621","host","controller","HCI_CMD","7","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"143","2024-12-20 19:26:49.635667","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"144","2024-12-20 19:31:42.361509","host","controller","HCI_CMD","6","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"145","2024-12-20 19:31:42.449462","controller","host","HCI_EVT","9","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:06"
"146","2024-12-20 19:31:42.451883","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"147","2024-12-20 19:31:42.457831","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"148","2024-12-20 19:31:42.468518","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"149","2024-12-20 19:31:42.472586","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"150","2024-12-20 19:31:42.472884","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"151","2024-12-20 19:31:42.477570","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"152","2024-12-20 19:31:42.477944","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"153","2024-12-20 19:31:42.482574","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"154","2024-12-20 19:31:42.482989","host","controller","HCI_CMD","13","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"155","2024-12-20 19:31:42.487681","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
"156","2024-12-20 19:31:42.487947","host","controller","HCI_CMD","22","Sent Vendor Command 0x0157 (opcode 0xFD57)","0x157","Vendor-Specific Commands","57:fd"
"157","2024-12-20 19:31:42.492547","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07"
