"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Command Opcode","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"733","2025-01-02 01:40:52.616058","host","controller","HCI_CMD","12","Sent LE Set Extended Scan Parameters","LE Controller Commands","LE Set Extended Scan Parameters","41:20","","","41","01:90","","","","","","","","","","","","","","","","","","",""
"735","2025-01-02 01:40:52.620440","host","controller","HCI_CMD","10","Sent LE Set Extended Scan Enable","LE Controller Commands","LE Set Extended Scan Enable","42:20","","","42","00:00","","","","","","","","","","","","","","","","","","",""
"737","2025-01-02 01:41:21.199564","host","controller","HCI_CMD","7","Sent Write Class of Device","Host Controller & Baseband Commands","Write Class of Device","24:0c","","","24","","","","","","","","","","","","","","","","","","","",""
"739","2025-01-02 01:41:21.254804","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"741","2025-01-02 01:41:21.308706","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"743","2025-01-02 01:41:21.313562","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"745","2025-01-02 01:41:21.377570","host","controller","HCI_CMD","6","Sent Write Voice Setting","Host Controller & Baseband Commands","Write Voice Setting","26:0c","","","26","","","","","","","","","","","","","","","","","","","",""
"747","2025-01-02 01:41:21.382332","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"749","2025-01-02 01:41:21.387506","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"751","2025-01-02 01:41:21.785982","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"753","2025-01-02 01:41:21.863154","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"755","2025-01-02 01:41:21.866150","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"757","2025-01-02 01:41:21.868679","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"759","2025-01-02 01:41:21.871127","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"762","2025-01-02 01:41:21.959903","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"764","2025-01-02 01:41:22.080209","host","controller","HCI_CMD","5","Sent Write Scan Enable","Host Controller & Baseband Commands","Write Scan Enable","1a:0c","","","1a","","","","","","","","","","","","","","","","","","","",""
"766","2025-01-02 01:41:22.084989","host","controller","HCI_CMD","5","Sent Write Scan Enable","Host Controller & Baseband Commands","Write Scan Enable","1a:0c","","","1a","","","","","","","","","","","","","","","","","","","",""
"768","2025-01-02 01:41:23.026763","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
"770","2025-01-02 01:41:23.042281","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response","Host Controller & Baseband Commands","Write Extended Inquiry Response","52:0c","","","52","6d:6f","","","","","","","","","","","","","","","","","","",""
