"No.","Time","Source","Destination","Protocol","Length","Info","OpGroup","OpCode","Bytes","Event Code","Command Opcode","Sub Event","EvBytes","CID","Command Code","DLCI","Frame type","MCC Command Type","Transaction","C/R","Ctype","Opcode","PDU ID","Operation ID","Transaction","Message Type","Signal","ACP SEID","INT SEID","Expected data speed","Opcode","Handle","Value"
"96","2025-01-05 04:09:59.982562","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:00","","","","","","","","","","","","","","","","","","",""
"98","2025-01-05 04:09:59.987283","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","LE Set Extended Scan Parameters","","0e","","","","","","","","","","","","","","","","","","","",""
"100","2025-01-05 04:09:59.991097","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"102","2025-01-05 04:09:59.996199","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"104","2025-01-05 04:10:00.001266","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","LE Set Extended Scan Parameters","","0e","","","","","","","","","","","","","","","","","","","",""
"106","2025-01-05 04:10:00.006082","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"107","2025-01-05 04:10:00.341245","controller","host","HCI_EVT","8","Rcvd Vendor-Specific","","","ff:05","Vendor-Specific","","","ff","","","","","","","","","","","","","","","","","","","",""
"108","2025-01-05 04:10:02.812041","controller","host","HCI_EVT","8","Rcvd Vendor-Specific","","","ff:05","Vendor-Specific","","","ff","","","","","","","","","","","","","","","","","","","",""
"110","2025-01-05 04:10:05.961643","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"112","2025-01-05 04:10:05.967017","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","LE Set Extended Scan Parameters","","0e","","","","","","","","","","","","","","","","","","","",""
"114","2025-01-05 04:10:05.972340","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"116","2025-01-05 04:11:52.355344","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"118","2025-01-05 04:11:52.359723","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Parameters)","","","0e:04","Command Complete","LE Set Extended Scan Parameters","","0e","","","","","","","","","","","","","","","","","","","",""
"120","2025-01-05 04:11:52.364537","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"122","2025-01-05 04:11:52.434606","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Extended Scan Enable)","","","0e:04","Command Complete","LE Set Extended Scan Enable","","0e","","","","","","","","","","","","","","","","","","","",""
"124","2025-01-05 04:11:52.439720","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:01","","","","","","","","","","","","","","","","","","",""
"126","2025-01-05 04:11:52.444850","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:01","","","","","","","","","","","","","","","","","","",""
"128","2025-01-05 04:11:52.449694","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:01","","","","","","","","","","","","","","","","","","",""
"130","2025-01-05 04:13:49.173450","controller","host","HCI_EVT","9","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:06","Command Complete","0xfd57","","0e","00:01","","","","","","","","","","","","","","","","","","",""
"132","2025-01-05 04:13:49.182088","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","07:00","","","","","","","","","","","","","","","","","","",""
"134","2025-01-05 04:13:49.190782","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:00","","","","","","","","","","","","","","","","","","",""
"136","2025-01-05 04:13:49.195875","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","07:00","","","","","","","","","","","","","","","","","","",""
"138","2025-01-05 04:13:49.201236","controller","host","HCI_EVT","10","Rcvd Command Complete (Vendor Command 0x0157 [opcode 0xFD57])","","","0e:07","Command Complete","0xfd57","","0e","01:00","","","","","","","","","","","","","","","","","","",""
